Data properties:

Recording date: 5/15/2009
Recording time: 12:33:48:000 (corresponds to time 0)
Study: PoPAnalyst-static-image
Subject: P02-arzu
Recording: Rec 02
Screen resolution: 1600 x 1200
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: ClearView fixation filter
Fixation radius: 50
Min duration: 100

Timestamp	StimuliName	AoiNames	GazePointX	GazePointY	FixationDuration	
7588	statemap.jpg	NY	1218	437	383	
7605	statemap.jpg	NY	1220	435	383	
7621	statemap.jpg	NY	1225	434	383	
7638	statemap.jpg	NY	1218	440	383	
7655	statemap.jpg	NY	1233	430	383	
7671	statemap.jpg	NY	1235	449	383	
7688	statemap.jpg	NY	1234	435	383	
7705	statemap.jpg	NY	1226	433	383	
7721	statemap.jpg	NY	1223	420	383	
7738	statemap.jpg	NY	1221	438	383	
7755	statemap.jpg	NY	1265	433	383	
7771	statemap.jpg	NY	1261	407	383	
7788	statemap.jpg	NY	1265	443	383	
7805	statemap.jpg	NY	1268	434	383	
7821	statemap.jpg	NY	1255	419	383	
7838	statemap.jpg	NY	1270	404	383	
7855	statemap.jpg	NY	1263	402	383	
7871	statemap.jpg	NY	1267	416	383	
7888	statemap.jpg	NY	1261	410	383	
7904	statemap.jpg	NY	1262	422	383	
7921	statemap.jpg	NY	1259	410	383	
7938	statemap.jpg	NY	1269	424	383	
7954	statemap.jpg	NY	1260	449	383	
7971	statemap.jpg	NY	1326	381	183	
7988	statemap.jpg	NY	1351	392	183	
8004	statemap.jpg	NY	1335	393	183	
8021	statemap.jpg	NY	1346	376	183	
8038	statemap.jpg	NY	1337	391	183	
8054	statemap.jpg	NY	1339	387	183	
8071	statemap.jpg	NY	1343	393	183	
8088	statemap.jpg	NY	1345	393	183	
8104	statemap.jpg	NY	1340	402	183	
8121	statemap.jpg	NY	1342	371	183	
8138	statemap.jpg	NY	1343	400	183	
8154	statemap.jpg	ME	1386	349	383	
8171	statemap.jpg	ME	1416	311	383	
8188	statemap.jpg	ME	1417	323	383	
8204	statemap.jpg	ME	1420	307	383	
8221	statemap.jpg	ME	1415	316	383	
8238	statemap.jpg	ME	1419	307	383	
8254	statemap.jpg	ME	1418	307	383	
8271	statemap.jpg	ME	1422	300	383	
8288	statemap.jpg	ME	1425	308	383	
8304	statemap.jpg	ME	1424	300	383	
8321	statemap.jpg	ME	1424	305	383	
8338	statemap.jpg	ME	1422	309	383	
8354	statemap.jpg	ME	1432	286	383	
8371	statemap.jpg	ME	1421	306	383	
8388	statemap.jpg	ME	1413	299	383	
8404	statemap.jpg	ME	1420	312	383	
8421	statemap.jpg	ME	1416	307	383	
8437	statemap.jpg	ME	1418	301	383	
8454	statemap.jpg	ME	1406	299	383	
8471	statemap.jpg	ME	1396	327	383	
8487	statemap.jpg	ME	1366	346	383	
8504	statemap.jpg	ME	1358	337	383	
8521	statemap.jpg	ME	1371	330	383	
8537	statemap.jpg	Content	0	0		
8554	statemap.jpg	Content	0	0		
8571	statemap.jpg	Content	0	0		
8587	statemap.jpg	Content	1362	335		
8604	statemap.jpg	Content	1356	349		
8621	statemap.jpg	Content	1355	350		
8637	statemap.jpg	Content	1358	358		
8654	statemap.jpg	Content	1359	344		
8671	statemap.jpg	Content	1269	308		
8687	statemap.jpg	MAl	1209	287	266	
8704	statemap.jpg	MAl	1209	276	266	
8721	statemap.jpg	MAl	1209	278	266	
8737	statemap.jpg	MAl	1209	282	266	
8754	statemap.jpg	MAl	1226	279	266	
8771	statemap.jpg	MAl	1216	279	266	
8787	statemap.jpg	MAl	1205	279	266	
8804	statemap.jpg	MAl	1219	278	266	
8821	statemap.jpg	MAl	1212	288	266	
8837	statemap.jpg	MAl	1207	288	266	
8854	statemap.jpg	MAl	1208	270	266	
8871	statemap.jpg	MAl	1214	280	266	
8887	statemap.jpg	MAl	1202	277	266	
8904	statemap.jpg	MAl	1222	279	266	
8921	statemap.jpg	MAl	1209	273	266	
8937	statemap.jpg	MAl	1213	280	266	
8954	statemap.jpg	Content	1160	232	200	
8970	statemap.jpg	Content	1177	229	200	
8987	statemap.jpg	Content	1163	224	200	
9004	statemap.jpg	Content	1175	236	200	
9020	statemap.jpg	Content	1167	233	200	
9037	statemap.jpg	Content	1160	235	200	
9054	statemap.jpg	Content	1173	232	200	
9070	statemap.jpg	Content	1177	229	200	
9087	statemap.jpg	Content	1162	232	200	
9104	statemap.jpg	Content	1172	233	200	
9120	statemap.jpg	Content	1160	228	200	
9137	statemap.jpg	Content	1173	236	200	
9154	statemap.jpg	Content	1226	232	400	
9170	statemap.jpg	Content	1230	214	400	
9187	statemap.jpg	Content	1225	229	400	
9204	statemap.jpg	Content	1227	233	400	
9220	statemap.jpg	Content	1219	230	400	
9237	statemap.jpg	Content	1221	239	400	
9254	statemap.jpg	Content	1228	232	400	
9270	statemap.jpg	Content	1237	233	400	
9287	statemap.jpg	Content	1225	236	400	
9303	statemap.jpg	Content	1236	226	400	
9320	statemap.jpg	Content	1232	233	400	
9337	statemap.jpg	Content	1232	227	400	
9353	statemap.jpg	Content	1235	224	400	
9370	statemap.jpg	Content	1237	220	400	
9387	statemap.jpg	Content	1238	265	400	
9403	statemap.jpg	Content	1227	254	400	
9420	statemap.jpg	Content	1239	275	400	
9437	statemap.jpg	Content	1239	266	400	
9453	statemap.jpg	Content	1219	286	400	
9470	statemap.jpg	Content	1231	275	400	
9487	statemap.jpg	Content	1236	270	400	
9503	statemap.jpg	Content	1239	268	400	
9520	statemap.jpg	Content	1230	270	400	
9537	statemap.jpg	Content	1233	263	400	
9553	statemap.jpg	Content	0	0		
9570	statemap.jpg	Content	0	0		
9587	statemap.jpg	Content	0	0		
9603	statemap.jpg	Content	1188	301	949	
9620	statemap.jpg	Content	1190	307	949	
9637	statemap.jpg	Content	1189	308	949	
9653	statemap.jpg	Content	1182	309	949	
9670	statemap.jpg	Content	1185	322	949	
9687	statemap.jpg	Content	1181	311	949	
9703	statemap.jpg	Content	1189	309	949	
9720	statemap.jpg	Content	1190	310	949	
9737	statemap.jpg	Content	1191	312	949	
9753	statemap.jpg	Content	1199	315	949	
9770	statemap.jpg	Content	1191	305	949	
9787	statemap.jpg	Content	1204	309	949	
9803	statemap.jpg	Content	1196	306	949	
9820	statemap.jpg	Content	1191	305	949	
9836	statemap.jpg	Content	1195	311	949	
9853	statemap.jpg	Content	1194	319	949	
9870	statemap.jpg	Content	1190	326	949	
9886	statemap.jpg	Content	1193	323	949	
9903	statemap.jpg	Content	1196	312	949	
9920	statemap.jpg	Content	1197	315	949	
9936	statemap.jpg	Content	1229	294	949	
9953	statemap.jpg	Content	1235	293	949	
9970	statemap.jpg	Content	1245	302	949	
9986	statemap.jpg	Content	1238	300	949	
10003	statemap.jpg	Content	1240	300	949	
10020	statemap.jpg	Content	1241	295	949	
10036	statemap.jpg	Content	1235	289	949	
10053	statemap.jpg	Content	1238	284	949	
10070	statemap.jpg	Content	1244	294	949	
10086	statemap.jpg	Content	1251	301	949	
10103	statemap.jpg	Content	1240	288	949	
10120	statemap.jpg	Content	1249	284	949	
